Language, "Original"

STR_mos5b_name,"7.62x54r (5 round)"
STR_mos5b_desc,"Caliber: 7.62x54 mm<br />Quantity: 5 rounds<br />Type: Normal<br />Use: Mosin Nagant"

STR_dp_47b_name,"7.62x54r (47 round)"
STR_dp_47b_desc,"Caliber: 7.62x54 mm<br />Quantity: 47 rounds<br />Type: Normal<br />Use: DP-27"
STR_dp_47b_trs_name,"7.62x54r (47 rounds), Green Tracer"
STR_dp_47b_trs_desc,"Caliber: 7.62x54 mm<br />Quantity: 47 rounds<br />Type: Tracer<br />Use: DP-27"

STR_svt_10b_name,"7.62x54r (10 round)"
STR_svt_10b_desc,"Caliber: 7.62x54 mm<br />Quantity: 10 rounds<br />Type: Normal<br />Use: SVT, AVT"

STR_ppsh35_name,"7.62x25 (35 round)"
STR_ppsh35_desc,"Caliber: 7.62x25mm<br />Quantity: 35 rounds<br />Type: Normal<br />Use: PPSh-41"
STR_ppsh35_trs_name,"7.62x2(35 round), Green Tracer"
STR_ppsh35_trs_desc,"Caliber: 7.62x25mm<br />Quantity: 35 rounds<br />Type: Tracer<br />Use: PPSh-41"
STR_ppsh71_name,"7.62x25 (75 round)"
STR_ppsh71_desc,"Caliber: 7.62x25mm<br />Quantity: 71 rounds<br />Type: Normal<br />Use: PPSh-41"

STR_ng_7b_name,"7.62x38mmR (7 round)"
STR_ng_7b_desc,"Caliber: 7.62x38mmR<br />Quantity: 7 rounds<br />Type: Normal<br />Use: Nagant M1895"

STR_korob100r_pkp_name,"7.62x54mmR (100 round)"
STR_korob100r_pkp_desc,"Caliber: 7.62x54mmR<br />Quantity: 100 rounds<br />Type: Normal<br />Use: PKM/PKP"
STR_korob100r_pkp_trs_name,"7.62x54mmR (100 round), Green Tracer"
STR_korob100r_pkp_trs_desc,"Caliber: 7.62x54mmR<br />Quantity: 100 rounds<br />Type: Tracer<br />Use: PKM/PKP"
STR_korob200r_pkp_name,"7.62x54mmR (200 round)"
STR_korob200r_pkp_desc,"Caliber: 7.62x54mmR<br />Quantity: 200 rounds<br />Type: Normal<br />Use: PKM/PKP"

STR_svd_10b_name,"7.62x54r (10 round)"
STR_svd_10b_desc,"Caliber: 7.62x54 mm<br />Quantity: 10 rounds<br />Type: Normal<br />Use: SVD"
STR_svd_trs_10b_name,"7.62x54r (10 round)"
STR_svd_trs_10b_desc,"Caliber: 7.62x54 mm<br />Quantity: 10 rounds<br />Type: Normal<br />Use: SVD"
STR_svd_20b_name,"7.62x54r (20 round)"
STR_svd_20b_desc,"Caliber: 7.62x54 mm<br />Quantity: 20 rounds<br />Type: Normal<br />Use: SVD"

STR_korob100r_rpd_name,"7.62x39mm (100 round)"
STR_korob100r_rpd_desc,"Caliber: 7.62x39mm<br />Quantity: 100 rounds<br />Type: Normal<br />Use: RPD"
STR_korob100r_rpd_trs_name,"7.62x54mmR (100 round), Green Tracer"
STR_korob100r_rpd_trs_desc,"Caliber: 7.62x39mm<br />Quantity: 100 rounds<br />Type: Tracer<br />Use: RPD"

STR_vss_10b_dz_name,"9x39mm (10 round),Subsonic"
STR_vss_10b_dz_desc,"Caliber: 9x39mm<br />Quantity: 10 round<br />Type: Subsonic<br />Use: VSS, AS Val"
STR_vss_10b_trs_dz_name,"9x39mm (10 round), Subsonic, green tracer"
STR_vss_10b_trs_dz_desc,"Caliber: 9x39mm<br />Quantity: 10 round<br />Type: Subsonic, tracer<br />Use: VSS, AS Val, SR3"
STR_val_20b_dz_name,"9x39mm (20 round), Subsonic"
STR_val_20b_dz_desc,"Caliber: 9x39mm<br />Quantity: 20 round<br />Type: Subsonic<br />Use: VSS, AS Val, SR-3"
STR_sr3_30b_dz_name,"9x39mm (30 round), Subsonic"
STR_sr3_30b_dz_desc,"Caliber: 9x39mm<br />Quantity: 30 round<br />Type: Subsonic<br />Use: AS Val, SR-3"

STR_vss_10b_sz_name,"9x39mm (10 round),supersonic"
STR_vss_10b_sz_desc,"Caliber: 9x39mm<br />Quantity: 10 round<br />Type: supersonic<br />Use: VSS, AS Val"
STR_vss_10b_trs_sz_name,"9x39mm (10 round),supson, green tracer"
STR_vss_10b_trs_sz_desc,"Caliber: 9x39mm<br />Quantity: 10 round<br />Type: supersonic, tracer<br />Use: VSS, AS Val, SR3"
STR_val_20b_sz_name,"9x39mm (20 round),supersonic"
STR_val_20b_sz_desc,"Caliber: 9x39mm<br />Quantity: 20 round<br />Type: supersonic<br />Use: VSS, AS Val, SR3"
STR_sr3_30b_sz_name,"9x39mm (30 round),supersonic"
STR_sr3_30b_sz_desc,"Caliber: 9x39mm<br />Quantity: 30 round<br />Type: supersonic<br />Use: AS Val, SR-3"
